Longitude[Deg], Latitude[Deg], Ls[Deg], Martian Year
-73.0, -14.0, 134.185, 27
-73.75, -22.5, 134.187, 27
-41.0, -14.25, 135.141, 27
-41.5, -21.166666666666668, 135.143, 27
-41.55, -39.7, 135.146, 27
24.0, -3.5, 135.551, 27
-9.538461538461538, -21.76923076923077, 136.102, 27
163.0, -67.0, 241.735, 27
173.5, -36.0, 241.74, 27
174.0, -34.0, 241.743, 27
70.25, -54.25, 251.687, 27
70.0, -19.333333333333332, 251.693, 27
65.8, -53.2, 255.597, 27
67.8, -46.8, 255.6, 27
166.0, -3.1666666666666665, 257.383, 27
-31.0, 1.0, 257.738, 27
-31.0, -24.5, 259.686, 27
-32.0, -2.2, 259.691, 27
163.0, 10.821428571428571, 263.236, 27
133.0, -73.0, 264.278, 27
-67.0, -11.0, 264.298, 27
108.38461538461539, -71.46153846153847, 264.985, 27
-83.0, -70.0, 265.339, 27
62.75, -48.75, 265.351, 27
149.26666666666668, -72.66666666666667, 267.459, 27
-35.0, -26.5, 267.474, 27
-35.0, 4.16, 267.478, 27
-167.0, 14.11111111111111, 268.36, 27
116.83333333333333, -73.33333333333333, 268.87, 27
139.0, -70.0, 272.039, 27
103.0, -75.0, 272.741, 27
92.0, 34.0, 274.342, 27
-155.0, -74.33333333333333, 274.496, 27
157.0, 12.0, 276.788, 27
-88.46153846153847, -39.92307692307692, 311.322, 27
-23.515151515151516, -52.57575757575758, 311.808, 27
-55.0, -33.0, 312.459, 27
-88.1, -49.4, 313.105, 27
-88.0, -31.476190476190474, 313.107, 27
-87.0, -17.0, 313.11, 27
33.77777777777778, -59.55555555555556, 226.668, 28
-16.0, -27.6, 264.382, 28
-16.5, -8.0, 264.385, 28
-17.0, 5.303030303030303, 264.389, 28
-173.84615384615384, 0.46153846153846156, 305.009, 28
154.0, -25.0, 305.664, 28
150.5625, -1.4375, 305.67, 28
-45.0, -39.0, 313.188, 28
-123.4, -52.8, 236.801, 29
-122.5, -43.5, 236.805, 29
-123.16666666666667, -35.166666666666664, 236.808, 29
-138.5, -57.0, 240.07, 29
-137.42857142857142, -51.285714285714285, 240.074, 29
76.25, -29.5, 245.538, 29
97.66666666666667, -64.0, 315.801, 29
98.45283018867924, -72.77358490566037, 315.804, 29
