Longitude[Deg], Latitude[Deg], Ls[Deg], Martian Year
89.0, -39.0, 330.06, 26
-21.0, -8.0, 103.465, 27
-73.0, -7.5, 134.185, 27
-8.5, -26.0, 134.597, 27
23.333333333333332, -21.833333333333332, 135.553, 27
-74.0, -7.5, 135.688, 27
80.0, -39.5, 145.151, 27
-49.55555555555556, -15.11111111111111, 147.412, 27
164.4, -67.8, 241.735, 27
106.0, -41.625, 243.159, 27
107.4, -33.0, 243.162, 27
164.0, -69.0, 243.687, 27
-29.0, -61.0, 244.042, 27
171.0, -33.5, 247.602, 27
171.0, -11.214285714285714, 247.605, 27
-24.333333333333332, -34.333333333333336, 247.957, 27
-24.0, -24.0, 247.961, 27
-26.0, -25.6, 249.915, 27
137.0, -4.5, 250.271, 27
137.0, 1.0, 250.274, 27
-157.0, -8.0, 250.804, 27
170.0, -1.5, 251.518, 27
69.58695652173913, -50.78260869565217, 251.687, 27
69.625, -40.125, 251.69, 27
70.0, -27.0, 251.693, 27
-27.0, -14.307692307692308, 251.871, 27
136.0, -5.0, 252.226, 27
136.0, 0.8, 252.229, 27
-61.0, -3.0, 252.585, 27
-158.0, 2.5, 252.763, 27
101.0, -42.0, 252.934, 27
103.0, 3.0, 252.94, 27
68.88888888888889, -51.44444444444444, 253.642, 27
-28.0, -0.5, 253.829, 27
-62.0, -13.5, 254.537, 27
4.0, -4.5, 255.073, 27
-90.5, -70.5, 255.238, 27
69.0, -53.0, 255.597, 27
67.66666666666667, -40.0, 255.6, 27
68.0, -27.53846153846154, 255.603, 27
-29.0, -1.6666666666666667, 255.784, 27
-63.0, -13.5, 256.491, 27
-63.0, -4.5, 256.495, 27
166.0, 10.333333333333334, 257.383, 27
-31.0, 7.0625, 257.738, 27
133.0, -1.5, 258.093, 27
-63.0, -13.0, 258.445, 27
2.0, -5.2, 258.981, 27
66.0, -33.0, 259.509, 27
-32.0, 3.769230769230769, 259.691, 27
132.0, 1.0769230769230769, 260.045, 27
-45.2, -70.6, 260.734, 27
89.0, -72.0, 260.744, 27
99.0, 13.0, 260.755, 27
164.0, 6.5, 261.287, 27
-172.0, -71.0, 261.621, 27
33.0, -29.0, 262.169, 27
33.0, 16.0, 262.173, 27
-164.0, 9.0, 262.527, 27
93.0, -72.33333333333333, 262.694, 27
163.0, 21.0, 263.236, 27
-33.0, -20.857142857142858, 263.585, 27
137.4, -72.2, 264.278, 27
-81.0, -73.0, 264.287, 27
110.33333333333333, -71.44444444444444, 264.985, 27
-83.71428571428571, -72.0, 265.339, 27
63.0, -46.0, 265.351, 27
63.0, -41.0, 265.354, 27
81.5, -72.5, 265.692, 27
-78.66666666666667, -72.33333333333333, 266.232, 27
-68.0, -13.0, 266.243, 27
-80.0, -72.66666666666667, 267.283, 27
-167.0, 21.5, 268.36, 27
-144.66666666666666, -73.66666666666667, 268.694, 27
111.33333333333333, -73.33333333333333, 268.87, 27
142.69230769230768, -71.84615384615384, 272.039, 27
111.66666666666667, -73.0, 272.741, 27
59.0, -35.714285714285715, 273.106, 27
-115.36363636363636, -74.0909090909091, 273.794, 27
-169.0, 16.25, 274.163, 27
-169.0, 24.0, 274.167, 27
81.0, -72.0, 274.328, 27
92.0, 9.6, 274.338, 27
92.0, 22.4, 274.342, 27
-152.25, -74.75, 274.496, 27
-88.0, -27.333333333333332, 311.322, 27
-63.0, -75.42857142857143, 312.454, 27
-55.0, -26.0, 312.459, 27
-55.0, -16.0, 312.462, 27
-95.6, -76.54285714285714, 313.103, 27
-89.0, -57.0, 313.105, 27
-87.0, -11.0, 313.11, 27
-163.87234042553192, -79.80851063829788, 314.395, 27
65.1951219512195, -80.14634146341463, 315.201, 27
92.64, -80.08, 316.326, 27
102.0, -70.0, 316.329, 27
155.6, -79.85, 316.808, 27
167.14285714285714, -69.42857142857143, 316.81, 27
53.666666666666664, -83.16666666666667, 316.968, 27
-130.5, -77.7, 317.288, 27
-125.0, -71.5, 317.291, 27
-166.46153846153845, -79.07692307692308, 317.928, 27
57.125, -80.5, 318.726, 27
70.42857142857143, -60.42857142857143, 318.728, 27
