Longitude[Deg], Latitude[Deg], Local Time[Hour], Martian Year
-73.0, -14.0, 13.5675, 27
-73.75, -22.5, 13.6599, 27
-41.0, -14.25, 13.5082, 27
-41.5, -21.166666666666668, 13.6037, 27
-41.55, -39.7, 13.7028, 27
24.0, -3.5, 13.4997, 27
-9.538461538461538, -21.76923076923077, 13.4826, 27
163.0, -67.0, 17.2698, 27
173.5, -36.0, 17.5137, 27
174.0, -34.0, 17.6338, 27
70.25, -54.25, 16.548, 27
70.0, -19.333333333333332, 16.8689, 27
65.8, -53.2, 16.2277, 27
67.8, -46.8, 16.432, 27
166.0, -3.1666666666666665, 16.5377, 27
-31.0, 1.0, 16.5098, 27
-31.0, -24.5, 16.2216, 27
-32.0, -2.2, 16.374, 27
163.0, 10.821428571428571, 16.0706, 27
133.0, -73.0, 5.28391, 27
-67.0, -11.0, 15.9869, 27
108.38461538461539, -71.46153846153847, 5.15856, 27
-83.0, -70.0, 4.96954, 27
62.75, -48.75, 15.5947, 27
149.26666666666668, -72.66666666666667, 4.65405, 27
-35.0, -26.5, 15.5708, 27
-35.0, 4.16, 15.7382, 27
-167.0, 14.11111111111111, 15.6313, 27
116.83333333333333, -73.33333333333333, 4.69046, 27
139.0, -70.0, 4.09998, 27
103.0, -75.0, 4.062, 27
92.0, 34.0, 15.2746, 27
-155.0, -74.33333333333333, 3.94023, 27
157.0, 12.0, 14.9062, 27
-88.46153846153847, -39.92307692307692, 12.0113, 27
-23.515151515151516, -52.57575757575758, 11.9329, 27
-55.0, -33.0, 11.9985, 27
-88.1, -49.4, 11.7663, 27
-88.0, -31.476190476190474, 11.9564, 27
-87.0, -17.0, 12.0696, 27
33.77777777777778, -59.55555555555556, 14.8766, 28
-16.0, -27.6, 12.4361, 28
-16.5, -8.0, 12.5215, 28
-17.0, 5.303030303030303, 12.5887, 28
-173.84615384615384, 0.46153846153846156, 9.27778, 28
154.0, -25.0, 9.10281, 28
150.5625, -1.4375, 9.21079, 28
-45.0, -39.0, 8.49513, 28
-123.4, -52.8, 10.8743, 29
-122.5, -43.5, 11.26, 29
-123.16666666666667, -35.166666666666664, 11.3679, 29
-138.5, -57.0, 10.4885, 29
-137.42857142857142, -51.285714285714285, 10.9872, 29
76.25, -29.5, 10.668, 29
97.66666666666667, -64.0, 17.5702, 29
98.45283018867924, -72.77358490566037, 18.2272, 29
