Longitude[Deg], Latitude[Deg], Local Time[Hour], Martian Year
89.0, -39.0, 14.0484, 26
-21.0, -8.0, 16.0752, 27
-73.0, -7.5, 13.5675, 27
-8.5, -26.0, 13.6114, 27
23.333333333333332, -21.833333333333332, 13.5603, 27
-74.0, -7.5, 13.4441, 27
80.0, -39.5, 12.9334, 27
-49.55555555555556, -15.11111111111111, 12.6684, 27
164.4, -67.8, 17.2698, 27
106.0, -41.625, 17.3053, 27
107.4, -33.0, 17.4535, 27
164.0, -69.0, 17.2224, 27
-29.0, -61.0, 17.1396, 27
171.0, -33.5, 17.1095, 27
171.0, -11.214285714285714, 17.2482, 27
-24.333333333333332, -34.333333333333336, 17.1084, 27
-24.0, -24.0, 17.2477, 27
-26.0, -25.6, 17.0457, 27
137.0, -4.5, 17.0065, 27
137.0, 1.0, 17.1087, 27
-157.0, -8.0, 16.9861, 27
170.0, -1.5, 17.0666, 27
69.58695652173913, -50.78260869565217, 16.548, 27
69.625, -40.125, 16.7332, 27
70.0, -27.0, 16.8689, 27
-27.0, -14.307692307692308, 16.8998, 27
136.0, -5.0, 16.8617, 27
136.0, 0.8, 16.9538, 27
-61.0, -3.0, 16.8534, 27
-158.0, 2.5, 16.9359, 27
101.0, -42.0, 16.636, 27
103.0, 3.0, 16.8753, 27
68.88888888888889, -51.44444444444444, 16.3847, 27
-28.0, -0.5, 16.8752, 27
-62.0, -13.5, 16.6132, 27
4.0, -4.5, 16.7502, 27
-90.5, -70.5, 15.6283, 27
69.0, -53.0, 16.2277, 27
67.66666666666667, -40.0, 16.432, 27
68.0, -27.53846153846154, 16.5597, 27
-29.0, -1.6666666666666667, 16.7385, 27
-63.0, -13.5, 16.4923, 27
-63.0, -4.5, 16.623, 27
166.0, 10.333333333333334, 16.5377, 27
-31.0, 7.0625, 16.5098, 27
133.0, -1.5, 16.5053, 27
-63.0, -13.0, 16.3481, 27
2.0, -5.2, 16.4655, 27
66.0, -33.0, 16.2472, 27
-32.0, 3.769230769230769, 16.374, 27
132.0, 1.0769230769230769, 16.3739, 27
-45.2, -70.6, 5.92289, 27
89.0, -72.0, 15.7427, 27
99.0, 13.0, 16.2812, 27
164.0, 6.5, 16.242, 27
-172.0, -71.0, 5.71339, 27
33.0, -29.0, 16.0503, 27
33.0, 16.0, 16.1996, 27
-164.0, 9.0, 16.1292, 27
93.0, -72.33333333333333, 15.542, 27
163.0, 21.0, 16.0706, 27
-33.0, -20.857142857142858, 15.88, 27
137.4, -72.2, 5.28391, 27
-81.0, -73.0, 15.3026, 27
110.33333333333333, -71.44444444444444, 5.15856, 27
-83.71428571428571, -72.0, 4.96954, 27
63.0, -46.0, 15.5947, 27
63.0, -41.0, 15.7503, 27
81.5, -72.5, 4.82638, 27
-78.66666666666667, -72.33333333333333, 15.0682, 27
-68.0, -13.0, 15.8296, 27
-80.0, -72.66666666666667, 4.71069, 27
-167.0, 21.5, 15.6313, 27
-144.66666666666666, -73.66666666666667, 4.61849, 27
111.33333333333333, -73.33333333333333, 4.69046, 27
142.69230769230768, -71.84615384615384, 4.09998, 27
111.66666666666667, -73.0, 4.062, 27
59.0, -35.714285714285715, 14.9835, 27
-115.36363636363636, -74.0909090909091, 4.18676, 27
-169.0, 16.25, 15.1296, 27
-169.0, 24.0, 15.2813, 27
81.0, -72.0, 13.7481, 27
92.0, 9.6, 15.1202, 27
92.0, 22.4, 15.2746, 27
-152.25, -74.75, 3.94023, 27
-88.0, -27.333333333333332, 12.0113, 27
-63.0, -75.42857142857143, 9.77377, 27
-55.0, -26.0, 11.9985, 27
-55.0, -16.0, 12.0998, 27
-95.6, -76.54285714285714, 11.2639, 27
-89.0, -57.0, 11.7663, 27
-87.0, -11.0, 12.0696, 27
-163.87234042553192, -79.80851063829788, 10.1051, 27
65.1951219512195, -80.14634146341463, 7.95032, 27
92.64, -80.08, 7.9056, 27
102.0, -70.0, 11.4415, 27
155.6, -79.85, 7.93695, 27
167.14285714285714, -69.42857142857143, 11.3416, 27
53.666666666666664, -83.16666666666667, 8.91466, 27
-130.5, -77.7, 10.064, 27
-125.0, -71.5, 11.4441, 27
-166.46153846153845, -79.07692307692308, 8.8818, 27
57.125, -80.5, 8.69799, 27
70.42857142857143, -60.42857142857143, 11.1976, 27
73.0, -37.57142857142857, 11.4781, 27
-38.0, -81.5, 8.98374, 27
-26.0, -57.0, 11.1946, 27
-25.0, -17.0, 11.5906, 27
19.0, -80.5, 9.27519, 27
90.0, -83.0, 6.71935, 27
55.0, -83.0, 7.69233, 27
71.0, -54.0, 11.0225, 27
72.0, -44.55555555555556, 11.3263, 27
-60.0, -14.0, 11.3178, 27
73.0, -39.0, 16.0046, 28
72.0, -45.0, 15.5758, 28
-158.5, 22.0, 15.7671, 28
66.75, -57.25, 14.8173, 28
68.0, -47.5, 15.2516, 28
-63.0, 24.5, 15.2614, 28
65.73684210526316, -46.05263157894737, 14.9012, 28
-37.75, 18.0, 14.2676, 28
126.0, 21.0, 14.3545, 28
-9.0, 21.0, 14.0465, 28
-41.5, 8.0, 13.7075, 28
-43.5, 19.5, 13.7768, 28
-44.0, -15.0, 13.0731, 28
-48.0, -16.0, 12.4961, 28
-49.0, -13.0, 12.5856, 28
176.0, 22.0, 12.5922, 28
-16.0, -40.0, 12.4361, 28
-18.87878787878788, 25.96969696969697, 12.6756, 28
48.0, -31.6, 12.3611, 28
43.833333333333336, 38.833333333333336, 12.5982, 28
-171.5, -37.0, 9.17252, 28
-45.0, -45.0, 8.49513, 28
-47.90384615384615, -12.884615384615385, 8.61489, 28
61.0, 33.0, 15.9316, 29
-49.57142857142857, -20.285714285714285, 14.4792, 29
-50.0, -54.0, 14.3137, 29
-50.54761904761905, -23.69047619047619, 11.5851, 29
-126.0, -67.0, 10.8743, 29
163.0, -65.0, 10.6001, 29
177.5, -60.0, 10.3895, 29
75.5, -66.0, 9.48251, 29
77.0, -45.0, 10.5371, 29
76.9, -37.8, 10.668, 29
46.333333333333336, -42.333333333333336, 10.1137, 29
-33.333333333333336, -3.6666666666666665, 10.0555, 29
80.5, 6.5, 9.96407, 29
-21.0, 7.0, 9.89466, 29
-58.0, -14.5, 9.88752, 29
59.19230769230769, -43.19230769230769, 9.61107, 29
57.0, -33.0, 9.79596, 29
-178.0, 11.2, 16.7063, 29
-150.0, 18.0, 16.5329, 29
78.0, -33.0, 16.2368, 29
78.08695652173913, -38.95652173913044, 16.3311, 29
-168.0, 8.0, 15.6571, 29
-168.0, -4.0, 15.8463, 29
-32.333333333333336, 68.33333333333333, 7.72408, 30
